baseline a50g0s30: dist=0.09974882257318463
baseline a60g0s30: dist=0.022206313969497238
limitedmergers a50g0s100: dist=1.4402303551896267
limitedmergers a60g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.7, 0.6, 5.0, 1.0]
limitedmergers a70g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
limitedmergers a80g0s100: dist=2.791901212232002
limitedmergers a90g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
limitedmergers a100g0s100: dist=3.001024320419493
limitedbundling a70g0s60: state=[1, 1, 1, 0, 1, 0],  prices=[-0.8, -1.4, 25.0, 1.0]
limitedbundling a20g0s70: state=[2, 2, 1, 0, 1, 0],  prices=[-0.5, -1.0, 25.0, 1.0]
limitedbundling a30g0s70: state=[2, 2, 1, 0, 1, 0],  prices=[-0.4, -0.9, 25.0, 1.0]
limitedbundling a40g0s70: state=[2, 2, 1, 0, 1, 0],  prices=[-0.3, -0.8, 25.0, 1.0]
limitedbundling a90g0s70: state=[2, 1, 1, 0, 1, 0],  prices=[0.1, -1.3, 25.0, 1.0]
limitedbundling a0g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
limitedbundling a10g0s80: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
limitedbundling a20g0s80: state=[1, 1, 1, 0, 1, 0],  prices=[-0.6, -1.1, 25.0, 1.0]
limitedbundling a30g0s80: iter=505
limitedbundling a0g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
limitedbundling a10g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
limitedbundling a20g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
limitedbundling a30g0s90: state=[4, 3, 1, 0, 1, 0],  prices=[-0.1, -0.6, 25.0, 1.0]
limitedbundling a40g0s90: state=[2, 2, 1, 0, 1, 0],  prices=[-0.1, -0.6, 25.0, 1.0]
limitedbundling a50g0s90: state=[2, 2, 1, 0, 1, 0],  prices=[-0.1, -0.5, 25.0, 1.0]
limitedbundling a60g0s90: state=[2, 2, 1, 0, 1, 0],  prices=[0.0, -0.5, 25.0, 1.0]
limitedbundling a70g0s90: iter=752
limitedbundling a80g0s90: state=[3, 2, 1, 0, 1, 0],  prices=[0.3, -0.3, 25.0, 1.0]
limitedbundling a0g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
limitedbundling a10g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
limitedbundling a20g0s100: state=[2, 2, 1, 0, 1, 0],  prices=[-0.3, -0.7, 25.0, 1.0]
limitedbundling a30g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
limitedbundling a40g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
limitedbundling a50g0s100: state=[1, 1, 1, 0, 1, 0],  prices=[-0.6, -1.1, 25.0, 1.0]
limitedbundling a60g0s100: state=[3, 2, 1, 0, 1, 0],  prices=[0.3, -0.2, 25.0, 1.0]
limitedbundling a70g0s100: state=[4, 3, 1, 0, 1, 0],  prices=[0.4, -0.1, 25.0, 1.0]
limitedbundling a80g0s100: state=[4, 2, 1, 0, 1, 0],  prices=[0.4, -0.2, 25.0, 1.0]
limitedbundling a90g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
limitedbundling a100g0s100: state=[1, 1, 1, 0, 1, 0],  prices=[-0.6, -1.0, 25.0, 1.0]
nopredexitpricing a0g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitpricing a10g0s80: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitpricing a0g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
nopredexitpricing a10g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitpricing a20g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nopredexitpricing a30g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.4, 5.0, 1.0]
nopredexitpricing a40g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nopredexitpricing a0g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
