alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
0.1,0.95,1.0,0.0,1.0,6.0,300,0.1647,0.0,0.3528,0.0,0.0,0.0,1.058,1.239,2.297,0.0,0.0,0.0,0.6665,1.781,2.447
0.1,0.95,1.0,0.0,1.0,6.0,400,0.2069,0.0,0.0,0.0,0.0,0.0,0.6323,1.778,2.41,0.0,0.0,0.0,0.6665,1.781,2.447
0.1,0.95,1.0,0.0,1.0,7.0,200,0.6753,0.03564,0.4106,0.001355,0.0,0.0,1.581,0.5127,2.094,0.0,0.6465,0.0,1.367,0.8853,2.252
0.1,0.95,1.0,0.0,1.0,7.0,300,-0.6943,0.608,0.2883,0.0498,0.0,0.0,1.137,1.112,2.248,0.0,0.1118,0.0,0.709,1.678,2.387
0.1,0.95,1.0,0.0,1.0,7.0,400,-4.496,0.632,0.00155,0.914,0.0,0.0,0.2668,1.916,2.182,0.0,0.9365,0.0,1.723,0.4563,2.18
0.1,0.95,1.0,0.0,1.0,8.0,200,-0.939,0.2474,0.3376,0.005802,0.0,0.0,1.761,0.3003,2.06,0.0,0.9854,0.0,1.817,0.3564,2.174
0.1,0.95,1.0,0.0,1.0,8.0,300,-3.887,0.6323,0.2482,0.8745,0.0,0.0,1.649,0.4448,2.094,0.0,0.9453,0.0,1.764,0.419,2.184
0.1,0.95,1.0,0.0,1.0,8.0,400,-4.797,0.63,0.000979,0.9326,0.0,0.0,0.2368,1.946,2.184,0.0,0.962,0.0,1.786,0.3933,2.18
0.1,0.95,1.0,0.0,1.0,9.0,200,-1.044,0.2457,0.3179,0.00613,0.0,0.0,1.792,0.2793,2.07,0.0,0.995,0.0,1.86,0.3179,2.178
0.1,0.95,1.0,0.0,1.0,9.0,300,-4.293,0.642,0.2275,0.884,0.0,0.0,1.742,0.3582,2.1,0.0,0.993,0.0,1.857,0.321,2.178
0.1,0.95,1.0,0.0,1.0,9.0,400,-5.33,0.64,0.002153,0.929,0.0,0.0,0.2145,1.969,2.184,0.0,0.994,0.0,1.858,0.3193,2.178
0.2,0.95,1.0,0.0,1.0,1.0,200,0.5806,0.0,1.489,0.0,0.0,0.0,1.816,0.9844,2.8,0.0,0.0,0.0,2.064,1.143,3.207
0.2,0.95,1.0,0.0,1.0,1.0,300,0.629,0.0,0.7627,0.0,0.0,0.0,1.908,1.049,2.957,0.0,0.0,0.0,2.064,1.143,3.207
0.2,0.95,1.0,0.0,1.0,1.0,400,0.856,0.0,0.0,0.0,0.0,0.0,2.002,1.135,3.137,0.0,0.0,0.0,2.064,1.143,3.207
0.2,0.95,1.0,0.0,1.0,10.0,200,-1.206,0.2408,0.312,0.00986,0.0,0.0,1.966,0.2861,2.252,0.0,0.9707,0.0,2.025,0.3477,2.373
0.2,0.95,1.0,0.0,1.0,10.0,300,-4.71,0.4045,0.2184,0.79,0.0,0.0,1.915,0.3628,2.277,0.0,0.97,0.0,2.023,0.3481,2.373
0.2,0.95,1.0,0.0,1.0,10.0,400,-5.832,0.4048,0.01042,0.787,0.0,0.0,0.2112,2.148,2.36,0.0,0.9707,0.0,2.025,0.348,2.373
0.2,0.95,1.0,0.0,1.0,2.0,200,0.5845,0.0,1.326,0.0,0.0,0.0,1.585,1.046,2.63,0.0,0.0,0.0,1.714,1.281,2.994
0.2,0.95,1.0,0.0,1.0,2.0,300,0.4468,0.0,0.6997,0.0,0.0,0.0,1.632,1.139,2.771,0.0,0.0,0.0,1.714,1.281,2.994
0.2,0.95,1.0,0.0,1.0,2.0,400,0.637,0.0,0.0,0.0,0.0,0.0,1.651,1.275,2.926,0.0,0.0,0.0,1.714,1.281,2.994
0.2,0.95,1.0,0.0,1.0,3.0,200,0.629,0.0,1.091,0.0,0.0,0.0,1.367,1.146,2.514,0.0,0.0,0.0,1.308,1.549,2.857
0.2,0.95,1.0,0.0,1.0,3.0,300,0.2964,0.0,0.5903,0.0,0.0,0.0,1.349,1.298,2.646,0.0,0.0,0.0,1.308,1.549,2.857
0.2,0.95,1.0,0.0,1.0,3.0,400,0.425,0.0,0.0,0.0,0.0,0.0,1.246,1.543,2.79,0.0,0.0,0.0,1.308,1.549,2.857
0.2,0.95,1.0,0.0,1.0,4.0,200,0.681,0.0,0.877,0.0,0.0,0.0,1.2705,1.155,2.426,0.0,0.0,0.0,0.998,1.752,2.75
0.2,0.95,1.0,0.0,1.0,4.0,300,0.1919,0.0,0.4863,0.0,0.0,0.0,1.179,1.373,2.55,0.0,0.0,0.0,0.998,1.752,2.75
0.2,0.95,1.0,0.0,1.0,4.0,400,0.2695,0.0,0.0,0.0,0.0,0.0,0.937,1.746,2.684,0.0,0.0,0.0,0.998,1.752,2.75
0.2,0.95,1.0,0.0,1.0,5.0,200,0.7275,0.0,0.723,0.0,0.0,0.0,1.268,1.107,2.375,0.0,0.0,0.0,0.8,1.882,2.682
0.2,0.95,1.0,0.0,1.0,5.0,300,0.1222,0.0,0.4094,0.0,0.0,0.0,1.11,1.382,2.492,0.0,0.0,0.0,0.8,1.882,2.682
0.2,0.95,1.0,0.0,1.0,5.0,400,0.1707,0.0,0.0,0.0,0.0,0.0,0.7383,1.876,2.613,0.0,0.0,0.0,0.8,1.882,2.682
0.2,0.95,1.0,0.0,1.0,6.0,200,-0.853,0.255,0.401,0.00803,0.0,0.0,1.831,0.3743,2.205,0.0,0.952,0.0,1.87,0.485,2.355
