alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly
0.3,7.0,40,-6.05,0.655,0.007137,1.187,0.832,0.3447,2.004,2.348,0.9355
0.3,7.0,41,-8.73,0.6914,0.01265,1.359,0.9956,0.3435,1.991,2.334,0.9385
0.3,7.0,43,-3.996,0.687,0.01289,1.682,1.0,0.03186,2.312,2.344,0.94
0.3,8.0,20,0.564,0.2341,0.322,0.01775,0.4824,1.794,0.4944,2.29,0.971
0.3,8.0,21,0.755,0.003273,0.03445,0.00884,1.0,1.907,0.409,2.316,0.971
0.3,8.0,30,-5.273,0.481,0.1713,0.9478,0.5444,0.6084,1.697,2.307,0.9707
0.3,8.0,31,-4.496,0.6353,0.03174,0.7603,0.997,1.374,0.9536,2.328,0.971
0.3,8.0,40,-6.4,0.606,0.006645,1.233,0.848,0.3523,1.993,2.346,0.9707
0.3,8.0,41,-6.19,0.7017,0.01068,1.405,0.998,0.6655,1.668,2.334,0.971
0.3,8.0,43,-4.055,0.5903,0.01087,1.751,1.0,0.02599,2.316,2.342,0.9707
0.3,9.0,20,0.6147,0.2349,0.205,0.01636,0.475,1.841,0.4553,2.297,0.9785
0.3,9.0,21,0.7764,0.001786,0.02785,0.00742,1.0,1.948,0.3755,2.324,0.9785
0.3,9.0,30,-4.973,0.575,0.1459,0.5215,0.674,0.7954,1.509,2.305,0.9785
0.3,9.0,31,-2.145,0.6357,0.02502,0.7583,1.0,1.9,0.4321,2.332,0.9785
0.3,9.0,40,-6.324,0.589,0.00625,1.27,0.8696,0.3738,1.975,2.348,0.9785
0.3,9.0,41,-4.664,0.6895,0.00921,1.432,0.999,0.9453,1.392,2.338,0.9785
0.3,9.0,43,-3.95,0.584,0.00937,1.795,1.0,0.02188,2.324,2.346,0.9785
0.4,1.0,20,0.354,0.0,1.373,0.0,0.0,1.582,1.846,3.428,0.0
0.4,1.0,21,0.1267,0.3367,1.291,0.0,1.0,1.403,1.957,3.361,0.0
0.4,1.0,30,0.3489,0.0,0.6733,0.0,0.0,1.613,1.959,3.572,0.0
0.4,1.0,31,-0.2122,0.6997,0.5664,0.0,1.0,1.444,2.07,3.516,0.0
0.4,1.0,40,0.3489,0.0,0.0,0.0,0.0,1.662,2.043,3.705,0.0
0.4,1.0,41,-0.1433,0.669,0.0,0.0,1.0,1.472,2.17,3.643,0.0
0.4,1.0,43,0.3066,0.0,0.0,0.0,1.0,1.221,2.531,3.752,0.0
0.4,2.0,20,0.2228,0.41,1.083,0.0,0.1259,1.194,1.62,2.814,0.0
0.4,2.0,21,0.273,0.2352,0.834,0.0,1.0,1.139,1.651,2.791,0.0
0.4,2.0,30,-0.0705,0.52,0.5474,0.0,0.10846,1.146,1.802,2.95,0.0
0.4,2.0,31,-0.6284,0.979,0.387,0.0,1.0,1.04,1.885,2.924,0.0
0.4,2.0,40,-0.03992,0.4822,0.0,0.0,0.0,1.19,1.878,3.068,0.0
0.4,2.0,41,-0.503,0.931,0.0,0.0,1.0,1.021,2.016,3.037,0.0
0.4,2.0,43,0.0218,0.4387,0.0,0.0,1.0,0.7207,2.432,3.152,0.0
0.4,3.0,20,0.274,0.4,0.809,0.0,0.334,1.071,1.562,2.633,0.0
0.4,3.0,21,0.4014,0.1344,0.517,0.0,1.0,1.126,1.496,2.621,0.0
0.4,3.0,30,-0.339,0.7617,0.48,0.0,0.2109,0.8765,1.899,2.775,0.0
0.4,3.0,31,-0.9395,1.0,0.3076,0.0,1.0,0.799,1.949,2.748,0.0
0.4,3.0,40,-0.2695,0.7144,0.0,0.0,0.0,0.908,1.985,2.893,0.0
0.4,3.0,41,-0.7017,1.0,0.0,0.0,1.0,0.726,2.127,2.854,0.0
0.4,3.0,43,-0.1296,0.6987,0.0,0.0,1.0,0.415,2.514,2.93,0.0
0.4,4.0,20,0.4111,0.2505,0.3726,0.01203,0.4995,1.566,0.8594,2.426,0.5195
0.4,4.0,21,0.6113,0.013985,0.1153,0.01009,1.0,1.696,0.76,2.457,0.5205
0.4,4.0,30,-4.53,0.6646,0.2593,0.802,0.583,0.581,1.907,2.488,0.4749
0.4,4.0,31,-7.242,0.6655,0.10443,0.7188,0.9976,0.989,1.517,2.506,0.4873
0.4,4.0,40,-4.344,0.6997,0.00907,0.8335,0.5884,0.3745,2.197,2.572,0.458
0.4,4.0,41,-7.53,0.7524,0.01698,0.9277,0.9863,0.2732,2.266,2.54,0.468
0.4,4.0,43,-3.096,0.724,0.01729,1.092,1.0,0.0884,2.457,2.547,0.4944
0.4,5.0,20,0.4888,0.2393,0.3594,0.0166,0.507,1.75,0.689,2.44,0.8726
0.4,5.0,21,0.701,0.007122,0.0737,0.01341,1.0,1.873,0.5977,2.47,0.8726
0.4,5.0,30,-5.285,0.6416,0.218,0.894,0.589,0.579,1.899,2.479,0.843
0.4,5.0,31,-7.45,0.6426,0.0694,0.755,0.993,0.9854,1.52,2.504,0.8486
0.4,5.0,40,-5.88,0.68,0.00817,1.062,0.767,0.3567,2.18,2.535,0.843
0.4,5.0,41,-7.984,0.7197,0.016,1.21,0.993,0.3389,2.178,2.516,0.846
0.4,5.0,43,-3.87,0.7124,0.01645,1.45,1.0,0.05273,2.477,2.53,0.8506
0.4,6.0,20,0.5312,0.2416,0.3496,0.01805,0.502,1.85,0.606,2.455,0.937
0.4,6.0,21,0.733,0.00875,0.05194,0.011856,1.0,1.97,0.517,2.486,0.937
0.4,6.0,30,-5.652,0.62,0.2156,0.9253,0.55,0.5674,1.918,2.486,0.9224
0.4,6.0,31,-7.1,0.6465,0.1661,0.776,0.986,1.009,1.505,2.514,0.9253
0.4,6.0,40,-7.008,0.7266,0.02988,1.163,0.7925,0.2576,2.273,2.531,0.9204
0.4,6.0,41,0.0758,0.1838,0.10547,0.823,0.621,1.546,0.687,2.232,0.937
0.4,6.0,43,-4.47,0.6597,0.02332,1.612,1.0,0.03723,2.494,2.531,0.9272
0.4,7.0,20,0.5903,0.2286,0.3428,0.01817,0.494,1.922,0.548,2.469,0.966
0.4,7.0,21,0.7695,0.002377,0.0389,0.00974,1.0,2.04,0.46,2.5,0.966
0.4,7.0,30,-5.863,0.4792,0.1803,0.9375,0.553,0.5986,1.892,2.49,0.9653
0.4,7.0,31,-5.863,0.6343,0.03622,0.76,0.9956,1.202,1.312,2.514,0.9653
0.4,7.0,40,-7.004,0.5776,0.007385,1.219,0.8496,0.3691,2.164,2.533,0.9653
0.4,7.0,41,-7.99,0.688,0.011696,1.387,0.9976,0.6387,1.881,2.52,0.9653
0.4,7.0,43,-4.348,0.5747,0.01194,1.713,1.0,0.02963,2.5,2.531,0.9653
0.4,8.0,20,0.6406,0.2375,0.2142,0.01692,0.4858,1.98,0.4993,2.48,0.976
0.4,8.0,21,0.7935,0.003788,0.03084,0.008125,1.0,2.092,0.4177,2.51,0.976
0.4,8.0,30,-5.45,0.5786,0.1511,0.521,0.6855,0.8027,1.686,2.488,0.9756
0.4,8.0,31,-2.473,0.638,0.0276,0.757,1.0,2.035,0.4836,2.52,0.9756
0.4,8.0,40,-7.215,0.6387,0.006916,1.258,0.8716,0.3872,2.148,2.535,0.9756
0.4,8.0,41,-5.695,0.7607,0.01006,1.42,0.999,0.993,1.531,2.523,0.9756
0.4,8.0,43,-4.375,0.654,0.010254,1.768,1.0,0.02449,2.51,2.535,0.9756
0.4,9.0,20,0.6675,0.2322,0.2054,0.0164,0.4788,2.025,0.4648,2.49,0.9824
0.4,9.0,21,0.816,0.0007153,0.02415,0.006546,1.0,2.135,0.3838,2.518,0.9824
0.4,9.0,30,-5.465,0.575,0.1433,0.5215,0.6816,0.8184,1.678,2.496,0.982
0.4,9.0,31,-1.885,0.6353,0.02167,0.7583,1.0,2.08,0.4456,2.527,0.9824
0.4,9.0,40,-6.96,0.565,0.005665,1.281,0.8765,0.382,2.158,2.541,0.982
0.4,9.0,41,-5.285,0.6343,0.00819,1.445,0.999,1.03,1.5,2.531,0.9824
0.4,9.0,43,-4.27,0.53,0.00831,1.812,1.0,0.02045,2.52,2.54,0.982
0.5,1.0,20,0.323,0.05875,1.394,0.0,0.0,1.634,1.979,3.613,0.0
0.5,1.0,21,0.11444,0.3484,1.291,0.0,1.0,1.454,2.09,3.545,0.0
